,D1A_FAIXAID,D2_SEXO,D3_ESCOLA,OCUPA,Q1,Q12P1_B,Q12P2_B,P18,Q502,Q405,D10,majoritarian
411,5,2,6,3,4,9,2,5,5,5,3,15
412,2,1,6,4,4,9,2,5,5,4,5,14
413,3,1,5,1,3,5,1,5,5,5,5,15
414,3,2,8,1,1,3,60,5,1,5,3,11
415,3,1,7,4,3,9,2,5,5,5,5,15
416,4,2,3,1,3,5,2,5,1,1,97,7
417,3,2,6,4,3,5,1,3,2,2,3,7
418,5,1,2,1,4,9,2,5,1,1,3,7
419,2,1,7,1,3,3,1,5,3,5,5,13
420,5,1,4,3,1,5,1,5,4,4,3,13
421,7,2,2,2,4,5,1,1,3,2,3,6
422,3,1,3,3,3,3,1,2,1,1,3,4
423,2,2,7,4,3,3,2,1,5,5,5,11
424,2,2,6,4,2,9,2,3,2,2,5,7
425,3,1,6,3,4,5,1,1,4,1,3,6
426,3,1,2,4,3,5,2,1,2,2,3,5
427,2,1,6,1,3,5,1,1,3,5,3,9
428,4,2,5,4,4,5,1,5,4,5,3,14
429,6,2,2,3,3,5,1,5,1,1,5,7
430,2,2,4,3,1,5,1,4,2,1,3,7
431,5,1,3,4,3,5,2,5,2,2,3,9
432,4,1,9,3,1,9,2,4,1,1,3,6
433,2,2,0,1,3,3,99,4,5,5,3,14
434,3,2,6,2,3,60,50,5,1,1,5,7
435,4,2,2,1,4,50,1,4,1,4,3,9
436,2,2,6,1,3,5,1,1,5,5,3,11
437,3,1,2,1,4,9,2,1,1,1,3,3
438,3,1,3,3,4,5,1,5,1,5,3,11
439,5,1,0,4,3,5,1,1,5,1,3,7
440,3,1,6,3,1,9,2,4,2,1,3,7
441,5,1,5,4,4,5,2,1,1,2,3,4
442,5,2,2,4,3,5,1,2,2,4,3,8
443,6,2,8,4,1,5,1,1,1,1,3,3
444,2,2,6,4,2,9,2,4,1,5,5,10
445,1,2,6,4,3,99,99,1,4,2,3,7
446,3,1,3,1,3,9,99,1,5,5,3,11
447,5,2,5,1,3,50,50,1,1,2,5,4
448,2,2,7,4,2,2,1,1,2,5,5,8
449,5,2,3,4,4,9,2,5,5,5,5,15
450,3,2,8,1,2,97,97,5,5,5,5,15
451,4,2,6,3,3,5,1,5,5,5,3,15
452,5,1,7,1,2,9,2,4,2,5,5,11
453,2,1,6,4,4,3,1,3,5,3,97,11
454,6,1,6,2,3,9,2,5,5,2,3,12
455,4,1,6,3,3,9,2,5,1,5,5,11
456,3,1,6,3,3,9,2,5,2,2,5,9
457,7,1,7,4,3,3,50,4,2,5,3,11
458,6,2,9,1,2,6,2,4,5,1,3,10
459,3,1,1,1,2,9,2,1,2,5,7,8
460,2,2,6,1,3,3,60,4,3,3,3,10
461,2,1,6,4,1,3,1,5,5,4,3,14
462,4,1,2,4,3,9,2,4,4,2,3,10
463,5,1,6,4,1,5,1,1,1,1,3,3
464,5,2,2,3,1,5,1,5,5,5,3,15
465,4,1,2,1,4,50,50,1,1,2,3,4
466,7,2,0,1,4,9,2,1,5,5,3,11
467,3,2,4,1,3,60,60,1,2,1,3,4
468,4,2,2,1,3,5,1,1,5,2,5,8
469,7,2,9,4,3,5,99,5,5,5,3,15
470,3,1,4,1,3,9,2,4,4,4,5,12
471,5,2,4,1,1,50,2,5,2,2,3,9
472,3,2,6,4,2,9,2,5,4,4,3,13
473,3,1,6,1,3,9,2,5,3,4,3,12
474,6,1,2,3,1,3,2,1,1,5,3,7
475,2,2,4,3,4,5,1,2,4,2,3,8
476,3,2,6,4,4,5,2,2,2,4,3,8
477,4,2,2,1,4,5,1,1,3,1,3,5
478,5,1,2,4,4,5,1,5,1,1,3,7
479,7,2,2,4,3,5,1,1,5,3,3,9
480,5,1,6,3,4,99,99,1,5,2,3,8
481,3,2,5,3,3,5,1,1,2,1,3,4
482,4,2,8,4,2,3,1,4,5,4,96,13
483,3,1,7,1,3,5,1,3,3,3,5,9
484,6,1,5,1,2,9,2,4,4,1,97,9
485,2,2,8,1,3,50,1,3,1,3,5,7
486,6,2,8,4,3,5,1,3,4,2,5,9
487,3,1,7,3,4,9,2,5,1,1,5,7
488,4,2,5,3,3,5,1,1,5,1,3,7
489,2,1,5,4,4,9,2,2,2,2,97,6
490,1,1,5,4,3,9,2,5,4,4,5,13
491,4,2,1,3,1,5,99,5,5,1,5,11
492,2,2,4,4,4,5,1,1,4,1,5,6
493,5,1,2,3,2,9,2,4,5,1,97,10
494,5,2,8,3,4,60,1,5,5,5,3,15
495,4,2,6,3,3,3,1,5,5,4,3,14
496,3,1,4,3,3,5,2,5,4,5,5,14
497,6,1,6,4,2,5,99,1,1,2,3,4
498,7,2,6,4,4,5,1,1,5,5,97,11
499,5,2,3,3,4,9,2,1,1,1,5,3
500,3,1,5,4,3,5,1,4,1,1,97,6
501,4,2,6,3,3,5,1,4,1,5,5,10
502,6,2,2,3,3,5,1,1,4,4,5,9
503,4,1,3,3,3,5,1,1,5,5,3,11
504,5,1,2,3,4,5,1,5,5,5,5,15
505,2,2,6,1,3,5,1,5,5,5,5,15
506,4,2,6,3,4,99,99,1,5,3,7,9
507,5,1,6,4,3,3,1,5,4,1,3,10
508,5,2,6,4,3,5,99,5,3,3,2,11
509,2,1,5,4,4,7,1,4,5,5,5,14
510,7,2,1,4,3,99,99,1,5,1,5,7
511,5,2,0,4,4,5,1,2,1,4,3,7
512,2,1,5,1,4,99,2,5,3,4,5,12
513,4,1,6,1,2,3,1,5,3,2,5,10
514,4,1,6,3,2,99,2,5,2,5,5,12
515,3,2,6,1,4,5,1,4,5,5,3,14
516,7,1,6,4,3,9,99,4,2,1,3,7
517,2,1,7,1,1,9,2,1,4,1,98,6
518,6,2,2,4,3,5,1,2,5,2,3,9
519,4,2,6,3,1,9,2,2,5,5,4,12
520,3,1,6,1,1,3,1,2,5,5,2,12
521,5,1,3,3,3,99,99,5,2,1,97,8
522,5,1,3,1,4,99,60,5,5,1,3,11
523,5,2,8,4,1,99,97,5,5,5,5,15
